longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value
-119.01,36.08,31.0,1620.0,366.0,1154.0,348.0,1.8857,55500.0
-119.01,36.07,44.0,2450.0,575.0,1330.0,508.0,1.6103,50900.0
-119.01,36.06,25.0,1505.0,367.0,1392.0,359.0,1.6812,47700.0
-119.01,36.05,27.0,1127.0,294.0,839.0,276.0,1.3807,53100.0
-119.01,36.02,17.0,3915.0,742.0,1768.0,688.0,2.375,79800.0
-119.01,35.44,20.0,3458.0,651.0,1465.0,621.0,2.5806,82500.0
-119.01,35.38,44.0,434.0,110.0,274.0,86.0,1.1944,57500.0
-119.01,35.38,36.0,790.0,224.0,426.0,208.0,1.4427,50600.0
-119.01,35.37,45.0,629.0,143.0,568.0,139.0,1.7321,84400.0
-119.01,35.37,44.0,593.0,136.0,364.0,121.0,1.4779,66000.0
-119.01,35.37,38.0,1702.0,380.0,1191.0,366.0,1.8801,57800.0
-119.01,35.37,33.0,821.0,181.0,579.0,172.0,1.2469,46700.0
-119.01,35.36,38.0,1838.0,388.0,1203.0,373.0,1.6797,60700.0
-119.01,35.36,36.0,2658.0,626.0,1490.0,529.0,1.2157,57000.0
-119.01,35.36,24.0,1941.0,484.0,1277.0,435.0,1.056,51600.0
-119.01,35.35,39.0,598.0,149.0,366.0,132.0,1.9125,57900.0
-119.01,35.35,34.0,1354.0,325.0,922.0,304.0,2.1875,58000.0
-119.01,35.34,44.0,1730.0,343.0,782.0,278.0,3.0208,63700.0
-119.01,35.34,36.0,973.0,219.0,613.0,187.0,1.5625,46700.0
-119.01,35.33,42.0,1120.0,255.0,677.0,213.0,1.5429,39400.0
-119.01,35.33,32.0,3068.0,628.0,1897.0,607.0,2.4234,63700.0
-119.01,35.32,23.0,4870.0,965.0,2717.0,928.0,2.596,70000.0
-119.01,35.31,19.0,7092.0,1517.0,4101.0,1436.0,2.1006,74800.0
-119.01,35.3,7.0,8596.0,1597.0,4893.0,1520.0,3.9054,80900.0
-119.01,35.28,10.0,7011.0,1453.0,4163.0,1307.0,2.7659,77500.0
-119.01,35.24,6.0,80.0,16.0,66.0,21.0,3.125,65000.0
-119.02,36.09,15.0,2234.0,415.0,1254.0,420.0,3.0234,88600.0
-119.02,36.07,39.0,1173.0,269.0,702.0,232.0,1.6146,53100.0
-119.02,36.07,29.0,2610.0,597.0,1659.0,571.0,1.5911,60800.0
-119.02,36.05,22.0,2078.0,431.0,1336.0,456.0,2.2202,65200.0
-119.02,35.44,29.0,3415.0,631.0,1527.0,597.0,4.0125,84400.0
-119.02,35.43,39.0,2033.0,370.0,956.0,379.0,3.1736,70700.0
-119.02,35.42,40.0,1089.0,226.0,520.0,218.0,2.2727,67200.0
-119.02,35.42,36.0,2044.0,447.0,1021.0,374.0,1.8472,57400.0
-119.02,35.41,41.0,2221.0,516.0,1106.0,473.0,1.97,51900.0
-119.02,35.41,31.0,2348.0,701.0,1413.0,611.0,1.3222,51400.0
-119.02,35.39,52.0,191.0,52.0,106.0,49.0,2.0455,72500.0
-119.02,35.39,30.0,227.0,75.0,169.0,101.0,1.3527,60000.0
-119.02,35.38,48.0,346.0,92.0,129.0,63.0,1.1875,63800.0
-119.02,35.37,44.0,2687.0,620.0,1521.0,549.0,1.7213,61600.0
-119.02,35.36,47.0,1631.0,340.0,847.0,315.0,2.5062,73700.0
-119.02,35.35,38.0,1472.0,305.0,670.0,282.0,2.2407,76000.0
-119.02,35.34,38.0,1463.0,294.0,692.0,295.0,2.3125,65800.0
-119.02,35.34,35.0,1650.0,390.0,1145.0,343.0,1.5357,56500.0
-119.02,35.34,34.0,2861.0,510.0,1375.0,486.0,3.4286,71400.0
-119.02,35.33,35.0,2053.0,412.0,1193.0,387.0,2.75,65800.0
-119.02,35.33,26.0,3691.0,826.0,2072.0,827.0,2.1553,84700.0
-119.02,35.32,14.0,2927.0,588.0,1821.0,561.0,3.3529,82600.0
-119.02,35.3,10.0,7397.0,1369.0,4611.0,1310.0,3.6369,81600.0
-119.02,34.26,40.0,1498.0,292.0,707.0,249.0,3.7974,228700.0
-119.02,34.24,24.0,4650.0,748.0,2374.0,702.0,5.8838,232600.0
-119.03,36.08,19.0,2736.0,549.0,1432.0,503.0,2.6944,67700.0
-119.03,36.08,19.0,2471.0,431.0,1040.0,426.0,3.25,80600.0
-119.03,36.07,26.0,3210.0,646.0,1908.0,642.0,2.4167,77600.0
-119.03,36.06,36.0,1925.0,443.0,1405.0,422.0,2.162,51900.0
-119.03,35.45,14.0,3520.0,604.0,1748.0,582.0,4.3162,87100.0
-119.03,35.42,42.0,1705.0,418.0,905.0,393.0,1.6286,54600.0
-119.03,35.42,38.0,2952.0,598.0,1491.0,568.0,2.6094,67900.0
-119.03,35.41,41.0,1808.0,435.0,1005.0,373.0,1.7857,54300.0
-119.03,35.41,37.0,1761.0,443.0,911.0,365.0,2.0331,53200.0
-119.03,35.4,35.0,2608.0,620.0,1566.0,583.0,2.1818,63500.0
-119.03,35.39,28.0,4513.0,764.0,1593.0,763.0,2.9821,118700.0
-119.03,35.38,38.0,2122.0,394.0,843.0,410.0,3.0,91800.0
-119.03,35.37,52.0,1503.0,367.0,554.0,277.0,1.6786,126600.0
-119.03,35.37,42.0,2508.0,483.0,1035.0,442.0,2.6513,72300.0
-119.03,35.36,41.0,2551.0,594.0,1342.0,595.0,1.9671,76800.0
-119.03,35.36,41.0,1944.0,363.0,977.0,388.0,3.9097,81300.0
-119.03,35.35,34.0,1441.0,294.0,695.0,275.0,2.6875,73700.0
